OperationsEventRecordID,OperationsEventDefinitionID,Severity,Status,Comments
OER-T-001,OED-UD-OVERTEMP,High,Closed,Oven temperature exceeded safety limit
OER-T-002,OED-UD-MIXFAIL,High,Closed,Mixer stopped due to mechanical failure
OER-T-003,OED-UTIL-GAS,High,Closed,Gas supply interruption
OER-T-004,OED-SCR-BURN,Medium,Closed,Product burned during baking
OER-T-005,OED-QC-LABEL,Low,Closed,Incorrect labeling detected
OER-T-006,OED-MAT-EXPIRED,High,Closed,Expired yeast detected
OER-T-007,OED-PLAN-DELAY,Low,Closed,Production start delayed
OER-T-008,OED-PROD-MIX-START,High,Closed,Start of Mixing
OER-T-009,OED-PROD-MIX-END,High,Closed,End of Mixing
OER-T-010,OED-PROD-BAKE-START,High,Closed,Start of baking
OER-T-011,OED-PROD-BAKE-END,High,Closed,End of baking
OER-T-012,OED-PROD-PACK-START,High,Closed,Start of packing
OER-T-013,OED-PROD-PACK-END,High,Closed,End of packing
OER-T-014,OED-MNT-START,High,Closed,Start Maintenance
OER-T-015,OED-MNT-END,High,Closed,End Maintenance
